Name_audio,Transcription,label,text_len,sentiment,cleaned_text
10dec_D11_1_p1,"Давай ты успокоишься для начала. Ты можешь не вестись на эту ерунду - это специально провоцирует людей. Ты можешь успокоиться просто! А как люди с которыми мы договорились!? Подожди, подожди, стоп, стоп мы заказли билеты месяц назад, подожди пожалуйста! Ты можешь себя взять в руки!? Ты можешь взять себя в руки?! ",гнев,51,-1,давать успокоиться начало мочь вестись ерунда специально провоцировать человек мочь успокоиться просто человек который договориться подождать подождать стоп стоп заказлить билет месяц назад подождать пожалуйста мочь взять рука мочь взять рука
10dec_D11_1_p2,"Подожди, подожди, успокойся пожалуйста. Подожди, подожди, успокойся. И что, что умерло 400 человек? Мы эту поездку запланировали ещё месяц назад, ты понимаешь? Ты понимаешь, как мне достались эти билеты!? Да какой папа?.. Да стоп... Да подожди. Мы же забронировали уже отель, ты понимаешь, что это уже невозможно вернуть билеты? Стоп, да мы ждали эту поездку год практически! Да что ты обращаешь внимание на этих людей! Да хватит обращать внимание на новости! Да что ты за ерунду несёшь!? Ты мужик или как вообще!? Да возьми ты себя в руки! Да что ты чувству!.. Да успокойся, выпей воды!",гнев,96,-1,подождать подождать успокоиться пожалуйста подождать подождать успокоиться умереть 400 человек поездка запланировать ещё месяц назад понимать понимать достаться билет папа .. стоп ... подождать забронировать отель понимать невозможно вернуть билет стоп ждать поездка год практически обращать внимание человек хватить обращать внимание новость ерунда нести мужик вообще взять рука чувство .. успокоиться выпить вода
10dec_D11_2_p1,"Кристин, привет. Ты слышала там самолёт упал в Зеландии? Нам завтра улетать, ты понимаешь это вообще? Я...Я...Я боюсь, я не знаю, что делать, я не могу. Давай отменим поезку, давай сдадим билеты. Я... Ну... Слушай, как я могу успокоиться, подожди. Слушай, какая ерунда, как какая провокация? Ты с ума сошла? Просто самолёт взял и разбился. Ты понимаешь 400 человек, там никто не выжил! Ты понимаешь!? Я не смогу!.. Давай отменим поездку, я не могу! Давай по другому как-нибудь! Давай!.. Давай на корабле. Слушай, я не могу туда. Всё, я не полечу, я сказал, ты понимаешь!? Ты понимаешь, что мне страшно!? ",страх,100,-1,кристин привет слышать самолёт упасть зеландия завтра улетать понимать вообще ... ... бояться знать делать мочь давать отменить поезка давать сдать билет ... ну ... слушать мочь успокоиться подождать слушать ерунда провокация ум сойти просто самолёт взять разбиться понимать 400 человек никто выжить понимать смочь .. давать отменить поездка мочь давать как-нибудь давать .. давать корабль слушать мочь туда всё полечить сказать понимать понимать страшно
10dec_D11_2_p2,"Кристин, привет .. слушай .. Я боюсь лететь, там разбился самолёт, я сейчас смотрел. А.. я... Всё, давай отменим, я не могу, слушай. Там 400 человек умерло, ты понимаешь, 400 человек? Слушай, я не могу... Слушай я. Ты понимаешь, у меня папа сейчас болеет? Кто с ним будет сидеть, понимаешь? Мне страшно, я..я не могу лететь. Слушай, давай отменим, давай перенесём я..я... Я не могу лететь. Ты понимаешь я не могу просто всё. Я не могу выйти из дома, мне страшно. Мне страшно, я разобьюсь. Я чувствую, что я разобьюсь на этом самолёте, понимаешь? Я чувствую это, это не просто так. Это - знак. Я, я не могу, я не полечу никуда. ",страх,112,-1,кристин привет .. слушать .. бояться лететь разбиться самолёт смотреть .. ... всё давать отменить мочь слушать 400 человек умереть понимать 400 человек слушать мочь ... слушать я. понимать папа болеть сидеть понимать страшно .. мочь лететь слушать давать отменить давать перенести .. ... мочь лететь понимать мочь просто всё мочь выйти дом страшно страшно разбиться чувствовать разбиться самолёт понимать чувствовать просто знак мочь полечить никуда
10dec_D31_1,"Почему? Подожди... Ну подожди, ну как же, но мы же так давно планировали это? Но может быть кто-то из родственников может?",грусть,21,-1,почему подождать ... ну подождать ну давно планировать мочь кто-то родственник мочь
10dec_D31_2,"Крис я не смогу поехать в Новую Зеландию. У меня заболел папа и мне нужно с ним будет сидеть. Ну ты понимаешь, он начинает конючить. Я предлагал ему, что бы сиделка была, он отказывается от всего. Ну вообщем, я не знаю, что делать. Я понимаю, что планировали. Ну а чего тут сделаешь?",грусть,52,-1,крис смочь поехать новый зеландия заболеть папа нужно сидеть ну понимать начинать конючить предлагать сиделка отказываться весь ну вообщий знать делать понимать планировать ну сделать
10dec_D41_1,"Ну... Ну я забыла. Ну-ну. Ну у меня экзамены были?.. Ну ты понимаешь, что? Ну ты мог мне напомнить? Ну я забыла, ну.",грусть,23,-1,ну ... ну забыть ну-ну ну экзамен .. ну понимать ну мочь напомнить ну забыть ну
10dec_D41_2,"Я тебя просто попросил купить билеты, понимаешь, на самолёт!? Я всё сделал: забронировал гостиницу, я договорился со всеми организациями. Просто купить билеты - это что сложно!? Что значит забыла!? Какой экзамен, ты вообще сумашедшая или что!? Какой экзамен к чёрту!? Мы сколько готовились к этой поездке! Просто купить билеты! Я напомнить тебе должен!? Всё организовать и напомнить!? Может тебе ещё...",гнев,60,-1,просто попросить купить билет понимать самолёт всё сделать забронировать гостиница договориться весь организация просто купить билет сложно значит забыть экзамен вообще сумаидти экзамен чёрт сколько готовиться поездка просто купить билет напомнить должный всё организовать напомнить мочь ещё ...
10dec_D42_1,"Ну прости пожалуйста, но я забыла. Ну у меня столько дел накопилось. Ну ты. Ну ты можешь не кричать на меня? Ну.. ",грусть,22,-1,ну простить пожалуйста забыть ну столько дело накопиться ну ну мочь кричать ну ..
10dec_D42_2,"Слушай, я просто попросил тебя купить билеты на самолет. Это что сложно? А, прости, да, и все. Конечно, ну столько дел, ну естественно, конечно. Че просто взять билеты, понимаешь? Билеты взять. Я все сделал. А, извините, пожалуйста, нельзя кричать на тебя, да? А что я тебя похвалить сейчас должен, да? Ну, и все да?",гнев,54,-1,слушать просто попросить купить билет самолёт сложно простить всё конечно ну столько дело ну естественно конечно че просто взять билет понимать билет взять всё сделать извинить пожалуйста нельзя кричать похвалить должный ну всё
10dec_D43_1,"Ну ты можешь не кричать на меня хотя бы? Ну я забыла, у меня было много дел. Ну просто на меня навалилось, да. Ну извини меня...",грусть,26,-1,ну мочь кричать хотя ну забыть дело ну просто навалиться ну извинить ...
