Name_audio,Transcription,label,text_len,sentiment,clean_text
15dec_D73_2,"Люба, ты? Да и ты. Слушай я тебя сразу узнал, я тут прилетел от это отдыхаю, а ты че тут делаешь, ты живешь что ли тут? Да ладно, а где ты живешь то. Рядышком. Слушай у тебя дом или квартира. Квартира. Я? Да ты тоже изменилась, че у тебя это, я смотрю у тебя даже размер ноги поменялся . раньше был маленький, а теперь вот такой и раньше ты была вот такая а теперь вот такая. .",удивление,77,1,люба слушать сразу узнать прилететь отдыхать че делать жить ладный жить рядышком слушать дом квартира квартира измениться че смотреть размер нога поменяться ранний маленький ранний
16dec_D41_1,"Кать, привет. Слушай, я че то забегался, правда, я там должен был взять билеты, я сегодня звонил, я не знаю, что то никаких билетов нет. Да я понимаю, это моя вина. Нет билетов сейчас на самолет в эту дату. И в ближайшую неделю тоже, там все занято. Купили путевки, но… Я, я понимаю, но правда… я, я виноват, серьезно, я, я беру на себя вину. Бывает все в жизни, согласись. Ну. Я… Может быть так оно и есть. Да я как то потерялся. Да не ходил я по клубам. Да просто. Да нет. Я не то, чтобы я.",грусть,98,-1,катя привет слушать че забегаться правда должный взять билет сегодня звонить знать никакой билет понимать вино билет самолёт дата близкий неделя всё занятый купить путёвка но… понимать правда… виноватый серьёзно брать вина бывать всё жизнь согласиться ну я… мочь оно потеряться ходить клуб просто
22dec_D12_1," Начинается. Что ты хочешь от меня? Видел. Всё, Кать. Правда. Я знаю, что ты скажешь. Хорошо, что ты предлагаешь? Не лететь что ли? Хорошо не летим. Всё, ну правда Кать. Ну я уже не могу слушать это. Как Ну у меня уже в ушах звенит! Правда, ну перестань. Перестань уже. Ты же знаешь что мы всё равно поедем. Какие игрушки, что да перестань, Кать. Каждый день люди умирают, каждый день! При чем здесь мы? Катя. Катя. ",гнев,76,-1,начинаться хотеть видеть всё катя правда знать сказать хорошо предлагать лететь хорошо лететь всё ну правда катя ну мочь слушать ну ухо звенеть правда ну перестать перестать знать всё равно поехать игрушка перестать катя каждый день человек умирать каждый день катя катя
22dec_K31_1,"Дотянула? . Сколько раз говорил, а? Сколько раз говорил, просто возьми и отошлите. . Спасибо! Спасибо большое! Спасибо! Да все, не надо, не надо оправдываться. Не надо, не надо. Все! Все . Так! А что нет интернет-клубов что ли? У вас друзей нет? Никого нет что ли? . Я не знаю . Ну ищите мне работу.",гнев,56,-1,дотянуть сколько говорить сколько говорить просто взять отослать спасибо спасибо большой спасибо всё оправдываться всё всё интернет-клуб друг никто знать ну искать работа
14dec_K33_1_p2,"Ну и как это теперь понимать? Значит мы отдали лучшие годы в своей жизни на эту компанию, а она нас увольняет. Ну вообще не адекватные люди там работают. Ну как можно было уволить совершенно гениальных сотрудников! . А, а вы чего? А вы чего молчите, Алина Владимировна? Почему вы тогда сидели и отмалчивались, когда вас увольняли? Где вы сейчас будите работу искать? Не, нормально. А почему вы не могли мне помочь? Нас бы тогда оставили. Если мы вместе сейчас там стояли. Нет, ну вы шумный человек, конечно. Вы могли додуматься, что если мы вместе будем там отстаивать свои права нас бы оставили. Они бы просто не пошли против нас.",гнев,109,-1,ну понимать значит отдать хороший год свой жизнь компания увольнять ну вообще адекватный человек работать ну уволить совершенно гениальный сотрудник молчать алина владимирович почему сидеть отмалчиваться увольнять будить работа искать нормально почему мочь помочь оставить вместе стоять ну шумный человек конечно мочь додуматься вместе отстаивать свой право оставить просто послать против
16dec_K42_1,"Значит я захожу туда. Да не. .просто и там эта вонь эта . Нет, я для себя просто думаю как-то прям везде эти, извините, пожалуйста, фекалии и они прям по стенкам размазаны. А Серега он прям поскользнулся и туда упал это . Он прям захлебывался . .",отвращение,47,-1,значит заходить туда .просто вонь просто думать как-то прям везде извинить пожалуйста фекалия прям стенка размазать серёга прям поскользнуться туда упасть прям захлёбываться
19dec_D41_2,"Всмысле забыла? Ты, всмысле забыла? Нас 15 человек летит, всмысле забыла? Мы. Мы в другие дни не сможем, что значит замоталась? Ты с ума сошла? Ты понимаешь, что 20 человек просто на бабки попадают? А если они не могут в другие дни, понимаешь? Мы только в эти дни могли лететь, что значит забыла? Я, я, что я? Головка от часов Заря! Мы 10 лет дружим и всё одно и тоже блин! Что нет? ",гнев,73,-1,всмысл забыть всмысл забыть 15 человек лететь всмысл забыть день смочь значит замотаться ум сойти понимать 20 человек просто бабка попадать мочь день понимать день мочь лететь значит забыть головка час заря 10 год дружить всё блин
16dec_D53_2,"Вов, в Китае подают ужасную, там кладут в тарелки живых лямблий, живых червяков, слизней, которые скользкие, они их вытаскивают прямо из канализации и кладут тебе в тарелку. Они их даже не моют, не готовят, да ладно готовить и ты все это ешь, а для китайцев это нормально. У них такие зубы скользкие, слюни текут, вот эти малюсенькие клешни, лямблии, они, ты их берешь, кладешь в рот и они там тебя целяют за щеки, за нёбо и они могу даже укусить твой язык, а ты это все жуешь, жуешь. ",отвращение,88,-1,вов китай подавать ужасный класть тарелка живой лямблия живой червяк слизень который скользкий вытаскивать прямо канализация класть тарелка мыть готовить ладный готовить всё китаец нормально зуб скользкий слюни течь малюсенький клешня лямблия брать класть рот целять щека нёбо мочь укусить твой язык всё жевать жевать
22dec_N15_2,"Так. В Третьяковской галерее продается такая игра. Помнишь, мы играли? Коробочка с карточками, на каждой карточке. В коробке две одинаковые карточки. То есть их куча, но есть повторяющееся. Раскладывается такой огромный, огромный пасьянс. И потом, каждый человек, по очереди, открывает по двум карточкам. Вот. И они должный совпасть. То есть ты стараешься запомнить, где находится какая карточка. Надо, типа, если ты две одинаковые открыл, забрал. Вот. А дальше открываешь, открываешь, открываешь.. Я вообще проигрывала всегда в эту игру, потому что не могла запомнить почему тут, где вторая. А они ещё все похожи. Да ещё картины все эти знаменитые. В общем, ужас. Вот. Если ты открываешь две разные, то ход переходит следующем игроку. И так по кругу, по кругу, по кругу, по кругу…",нейтраль,122,0,третьяковский галерея продаваться игра помнить играть коробочка карточка каждый карточка коробка одинаковый карточка куча повторяться раскладываться огромный огромный пасьянс каждый человек очередь открывать карточка должный совпасть стараться запомнить находиться карточка тип одинаковый открыть забрать далёкий открывать открывать открывать .. вообще проигрывать игра мочь запомнить почему второй ещё всё похожий ещё картина всё знаменитый общий ужас открывать разный ход переходить следующий игрок круг круг круг кругу…
15dec_K62_1,"Александр. Вы. Я не знаю вообще честно как это сказать. В общем. Я выхожу замуж за Владимира Вашкова. Да. Представляете. Мне буквально на днях сделал предложение. Я сама не поверила. Я как увидела, я говорю, господи, да что это. Да! У нас будет свадьба! Свадьба будет! В этом месяце! Буквально через пару недель. Да господи, да! Что вы задаете такие вопросы? Вообще, я просто так счастлива! Да, в одной кровати. У нас будут дети. Я надеюсь что у нас будет вообще счастливый брак!",радость,83,1,александр знать вообще честно сказать общий выходить замуж владимир вашков представлять буквально день сделать предложение поверить увидеть говорить господь свадьба свадьба месяц буквально пара неделя господь задавать вопрос вообще просто счастливый кровать ребёнок надеяться вообще счастливый брак
16dec_D24_2,"Вов, в общем. Звонила я вчера в нашу туристическую компанию. Они сказали что есть возможность специально для нас, Снять дом прямо на берегу океана! В двухстах метрах от воды буквально. Да! Мы будем жить в этом большом достаточно большом доме прямо с видом на океан! Пальмы, песок. Да буквально вот выпрыгни из окна и уже ты в воде! Да! Мы две недели будем жить в доме на берегу океана! Да! ТЫ представляешь мы открываем. Ты утром просыпаешься, открываешь занавески и тут шум. Нет, ну может быть кто-то есть конечно. Какие-нибудь животные. ",радость,91,1,вов общий звонить вчера наш туристический компания сказать возможность специально снять дом прямо берег океан двести метр вода буквально жить большой достаточно большой дом прямо вид океан пальма песок буквально выпрыгнуть окно вода неделя жить дом берег океан представлять открывать утром просыпаться открывать занавеска шум ну мочь кто-то конечно какой-нибудь животное
19dec_D41_1,"Родь… Родион, я забыла купить билеты. Только… Ну просто я замоталась в этот день и мне. Ну подожди, стоп. Подожди, нет. Ну я. Да нет, ну мы. Да послушай меня я узнаю, может быть у меня есть знакомые через которых как-то можно Я придумаю что-нибудь.",грусть,45,-1,родь… родион забыть купить билет только… ну просто замотаться день ну подождать стоп подождать ну я. ну послушать узнавать мочь знакомый который как-то придумать что-нибудь
16dec_K41_1,"А знаете, на трубах… она же все остается годами. Оно то что не смывается, собирается слоями и вот это все перегнив вот…а труба когда лопнула, это все прям вывалилось и вот вот… вот это вот не возможно… Это знаете, это не вонь, это запах смерти, я бы сказал… Это отвратительно… Да вы что? У вас тоже протекло? Это невозможно… Ой, ой не говорите… Это все прям по стенкам, мне в чай попало…",отвращение,72,-1,знать трубах… всё оставаться год оно смываться собираться слой всё перегнить вот… труба лопнуть всё прям вывалиться вот… возможно… знать вонь запах смерть сказал… отвратительно… протечь невозможно… ой ой говорите… всё прям стенка чай попало…
15dec_D54_2,"Люб, представляешь я сейчас видел сюжет по телевизору, в то место, куда мы едем в Китай, там люди едят несвежее мясо и это везде, повсюду. Что мы там будем есть я вообще не знаю, представляешь, я вообщем видел там труп собаки, они его берут, на полном серьезе тебе рассказываю, на полном серьезе, они берут этот труп, расчленяют его вместе с… значит ну вот эту псину вместе с кожей, прям вместе с шерстью, они оставляют его специально на солнечном месте еще на крыше у себя. Мясо все это киснет, тухнет, оно становится синим таким. Они все это едят. Они знаешь, они как вялят как будто и там появляются червяки, червяков этих они сверху, Люба, они червяков этих сверху снимают и сушат их и потом едят. При том, при этом они голову откусывают у него, у него внутри белый сок, они его высасывают, а пленочку эту глотают вот эту вот. Черви вот такие вот большие, что мы будем там есть, я не представляю, а мясо потом они вот это они ломтиками отрезают, а внутри там еще черви уже, там уже гниль начинается и вот этот запах трупный вообще паршивый вот этот. Они его ну они его едят это мясо, они отрезают, а там внутри уже личинки идут, понимаешь? Ну разлагается этот труп, он на дороге пролежал а потом они его",отвращение,218,-1,люба представлять видеть сюжет телевизор место ехать китай человек несвежий мясо везде повсюду вообще знать представлять вообщий видеть труп собака брать полный серьёз рассказывать полный серьёз брать труп расчленять вместе с… значит ну псина вместе кожа прям вместе шерсть оставлять специально солнечный место ещё крыша мясо всё киснуть тухнуть оно становиться синий всё знать вялить появляться червяк червяк сверху люба червяк сверху снимать сушить голова откусывать внутри белый сок высасывать плёночка глотать черви больший представлять мясо ломтик отрезать внутри ещё черви гниль начинаться запах трупный вообще паршивый ну мясо отрезать внутри личинка идти понимать ну разлагаться труп дорога пролежать
19dec_D21_1,"Да. Да! Подожди! Прям на ферму кенгуру?! Стой, там… И ты по акции взял это?! Блин, ну это же кенгуру, ты понимаешь! А с ними пофоткаться…Мы же сможем все пофоткаться? Подожди... А, а, это… А подожди, а это где находится там? ",радость,41,1,подождать прям ферма кенгуру стоить там… акция взять блин ну кенгуру понимать пофоткаться…м смочь всё пофоткаться подождать ... это… подождать находиться
10dec_K12_2,"А, застряли что ли? А. Так, , я ж, , таблетки щас не, я ж таблетки не взял, боже, они там в кабинете же остались . Че делать то? Я щас, я щас задыхаться же начну. . У меня, щас. .",страх,41,-1,застрять а. таблетка таблетка взять бог кабинет остаться че делать задыхаться начать
15dec_D73_1,"Сашка, а ты то че тут делаешь вообще? Слушай как ты . Да я живу здесь, ты то как тут? Да тут рядом, недалеко. Сашка, квартира, ты то вообще, господи, так изменился . Сашка .",удивление,35,1,сашка че делать вообще слушать жить рядом недалеко сашка квартира вообще господь измениться сашка
14dec_K32_1,"Ну и как это понимать? Пять лет проработал в этой компании и все? А где вы были? Почему вы отмалчивались, Алина Владимировна? Ну в смысле, вас увольняют, а вы сидите и молчите. Ну как так можно? Куда сейчас пойдете работать? Где вас примут? Нет подождите. Подождите. Нас увольняли вдвоем, могли бы как-то отстоять. Нас могли оставить. Оставили каких-то непонятных, тупых людей, а нас уволили. Как это понимать теперь? А что вы?",гнев,71,-1,ну понимать пять год проработать компания всё почему отмалчиваться алина владимирович ну смысл увольнять сидеть молчать ну пойти работать принять подождать подождать увольнять вдвоём мочь как-то отстоять мочь оставить оставить какой-то непонятный тупой человек уволить понимать
15dec_K63_2,Да ладно? А как это произошло? А образование то у вас какое? А… да да да… и язык вы знаете тоже? Шикарно! А сколько у вас человек то в подчинении? 10 человек? Куда ей богу? Монако?,удивление,36,1,ладный произойти образование а… да… язык знать шикарно сколько человек подчинение 10 человек бог монако
19dec_D31_1," Подожи,но может быть сиделку нанать какую нибудь?. Да, но, но. Совсем ничего нельзя сделать. Ну да. Но, ты кому-нибудь из ребят говорил?",грусть,22,-1,подож мочь сиделка нанать нибыть совсем нельзя сделать ну кто-нибудь ребята говорить
14dec_K52_1,"Правда что ли? И чего вы начальник? Какой? Правда что ли? И вы начальник? Подождите,а как же Валентина Семёновна,она же так давно работает. А вы готовы к этой работе? Интересно,конечно, Алина Владимировна,очень. Хм,и как вы теперь будете работать? Сколько у вас в подчинении людей? А Валентина Семёновна там же? ",удивление,49,1,правда начальник правда начальник подождать валентина семёнович давно работать готовый работа интересно конечно алина владимирович очень хм работать сколько подчинение человек валентина семёнович
22dec_D64_1,"Сейчас в центре прогремел взрыв. По новостям показывали. Подожди. У него включен телефон? Подожди, подожди, подожди. Подожди, ну! Блин, чего делать то. Подожди че делать. Звонить. Подожди. Подожди, какому человеку. Я не понимаю что ты говоришь. Подожди. Зачем ты туда его отправила, я не пойму?",страх,45,-1,центр прогреметь взрыв новость показывать подождать включить телефон подождать подождать подождать подождать ну блин делать подождать че делать звонить подождать подождать человек понимать говорить подождать туда отправить понять
10dec_K41_2,"Он нас уволил. Я вообще поражаюсь, конечно. Просто. Да, он просто взял и уволил! Урод, понимаешь? Урод! Четыре года? Четыре года, прикинь. Ха, шесть лет.",гнев,25,-1,уволить вообще поражаться конечно просто просто взять уволить урод понимать урод четыре год четыре год прикинуть ха шесть год
